codon	cat	obs	ansum	anmax
tcA/tcC	5.0000e+00	85	21034078	251494
tcA/tcC	6.0000e+00	66	16216331	251478
tcA/tcC	7.0000e+00	55	13464013	251466
tcA/tcC	8.0000e+00	32	7754220	251490
tcA/tcC	9.0000e+00	34	8214561	251484
tcA/tcC	1.0000e+01	15	3630762	251430
tcA/tcC	1.1000e+01	15	3653920	251420
tcA/tcC	1.2000e+01	6	1434709	251318
tcA/tcC	1.3000e+01	12	2797472	251470
tcA/tcC	1.4000e+01	9	2084434	251266
tcA/tcC	1.5000e+01	9	2194822	251314
tcA/tcC	1.6000e+01	11	2710424	251386
tcA/tcC	1.7000e+01	4	1001958	251300
tcA/tcG	0.0000e+00	10024	2465253494	251496
tcA/tcG	1.0000e+00	3982	979956455	251496
tcA/tcG	2.0000e+00	1732	427184084	251496
tcA/tcG	3.0000e+00	851	209680274	251496
tcA/tcG	4.0000e+00	486	119844748	251496
tcA/tcG	5.0000e+00	280	69115499	251494
tcA/tcG	6.0000e+00	179	44232849	251492
tcA/tcG	7.0000e+00	159	39084707	251494
tcA/tcG	8.0000e+00	120	29382581	251490
tcA/tcG	9.0000e+00	88	21676694	251496
tcA/tcG	1.0000e+01	61	14858153	251488
tcA/tcG	1.1000e+01	39	9462505	251494
tcA/tcG	1.2000e+01	24	5907112	251428
tcA/tcG	1.3000e+01	29	7225344	251476
tcA/tcG	1.4000e+01	34	8248339	251472
tcA/tcG	1.5000e+01	31	7486984	251414
tcA/tcG	1.6000e+01	61	14868900	251434
tcA/tcG	1.7000e+01	97	23798236	251492
tcA/tcT	0.0000e+00	2564	630741012	251496
tcA/tcT	1.0000e+00	816	201690882	251496
tcA/tcT	2.0000e+00	329	81417371	251496
tcA/tcT	3.0000e+00	177	43495942	251492
tcA/tcT	4.0000e+00	93	22873626	251494
tcA/tcT	5.0000e+00	52	12824971	251496
tcA/tcT	6.0000e+00	49	12041057	251472
tcA/tcT	7.0000e+00	25	6188144	251486
tcA/tcT	8.0000e+00	20	4935026	251484
tcA/tcT	9.0000e+00	21	5140511	251490
tcA/tcT	1.0000e+01	10	2486876	251428
tcA/tcT	1.1000e+01	3	651394	251086
tcA/tcT	1.2000e+01	8	1921470	251418
tcA/tcT	1.3000e+01	4	970282	251194
tcA/tcT	1.4000e+01	1	251202	251202
tcA/tcT	1.5000e+01	4	952538	249880
tcA/tcT	1.6000e+01	6	1476112	251454
tcA/tcT	1.7000e+01	5	1249342	251476
tcC/tcA	0.0000e+00	3648	895367383	251496
tcC/tcA	1.0000e+00	1306	319961526	251496
tcC/tcA	2.0000e+00	535	130708376	251494
tcC/tcA	3.0000e+00	275	67491919	251486
tcC/tcA	4.0000e+00	161	39323437	251492
tcC/tcA	5.0000e+00	87	21288626	251496
tcC/tcA	6.0000e+00	63	15541428	251482
tcC/tcA	7.0000e+00	45	10927993	251480
tcC/tcA	8.0000e+00	38	9250037	251476
tcC/tcA	9.0000e+00	12	2933427	251474
tcC/tcA	1.0000e+01	12	2915417	251448
tcC/tcA	1.1000e+01	15	3682510	251480
tcC/tcA	1.2000e+01	9	2221092	251424
tcC/tcA	1.3000e+01	9	2165674	251254
tcC/tcA	1.4000e+01	5	1197792	249040
tcC/tcA	1.5000e+01	5	1211550	251438
tcC/tcA	1.6000e+01	6	1493198	251360
tcC/tcA	1.7000e+01	8	2003594	251442
tcC/tcG	0.0000e+00	5578	1369940928	251496
tcC/tcG	1.0000e+00	1893	463949651	251496
tcC/tcG	2.0000e+00	836	205399389	251496
tcC/tcG	3.0000e+00	397	97739862	251496
tcC/tcG	4.0000e+00	222	54276922	251492
tcC/tcG	5.0000e+00	125	30478102	251492
tcC/tcG	6.0000e+00	82	20257503	251494
tcC/tcG	7.0000e+00	66	16342655	251488
tcC/tcG	8.0000e+00	53	12845912	251490
tcC/tcG	9.0000e+00	38	9162174	251494
tcC/tcG	1.0000e+01	28	6919298	251474
tcC/tcG	1.1000e+01	12	2939534	251478
tcC/tcG	1.2000e+01	9	2231806	251432
tcC/tcG	1.3000e+01	13	3224980	251466
tcC/tcG	1.4000e+01	9	2143032	251294
tcC/tcG	1.5000e+01	12	2956592	251450
tcC/tcG	1.6000e+01	11	2710068	251400
tcC/tcG	1.7000e+01	15	3685988	251448
tcC/tcT	0.0000e+00	17063	4182813511	251496
tcC/tcT	1.0000e+00	9062	2220917703	251496
tcC/tcT	2.0000e+00	5774	1416431164	251496
tcC/tcT	3.0000e+00	3797	932450924	251496
tcC/tcT	4.0000e+00	2109	517605258	251496
tcC/tcT	5.0000e+00	1191	293366346	251496
tcC/tcT	6.0000e+00	726	178593178	251496
tcC/tcT	7.0000e+00	526	129069164	251496
tcC/tcT	8.0000e+00	358	87777754	251494
tcC/tcT	9.0000e+00	292	71820366	251496
tcC/tcT	1.0000e+01	200	49126790	251496
tcC/tcT	1.1000e+01	129	31839322	251480
tcC/tcT	1.2000e+01	81	19834837	251488
tcC/tcT	1.3000e+01	63	15385901	251496
tcC/tcT	1.4000e+01	80	19616153	251462
tcC/tcT	1.5000e+01	64	15667770	251458
tcC/tcT	1.6000e+01	71	17254505	251480
tcC/tcT	1.7000e+01	42	10407526	251474
tcG/tcA	0.0000e+00	4359	1055176623	251496
tcG/tcA	1.0000e+00	6380	1558395982	251496
tcG/tcA	2.0000e+00	6976	1711078000	251496
tcG/tcA	3.0000e+00	4811	1182428003	251496
tcG/tcA	4.0000e+00	2600	639049999	251496
tcG/tcA	5.0000e+00	1347	331121628	251496
tcG/tcA	6.0000e+00	869	213195621	251492
tcG/tcA	7.0000e+00	555	136544923	251496
tcG/tcA	8.0000e+00	412	101451306	251490
tcG/tcA	9.0000e+00	276	67389470	251496
tcG/tcA	1.0000e+01	219	53090611	251494
tcG/tcA	1.1000e+01	102	25122316	251490
tcG/tcA	1.2000e+01	101	24479915	251482
tcG/tcA	1.3000e+01	80	19474609	251492
tcG/tcA	1.4000e+01	72	17774166	251490
tcG/tcA	1.5000e+01	79	19389842	251474
tcG/tcA	1.6000e+01	86	21154750	251470
tcG/tcA	1.7000e+01	57	14065939	251472
tcG/tcC	0.0000e+00	3129	763168916	251496
tcG/tcC	1.0000e+00	1244	302769896	251496
tcG/tcC	2.0000e+00	573	140132298	251496
tcG/tcC	3.0000e+00	296	71959831	251494
tcG/tcC	4.0000e+00	170	41293234	251492
tcG/tcC	5.0000e+00	95	23028931	251476
tcG/tcC	6.0000e+00	72	17465016	251490
tcG/tcC	7.0000e+00	71	17218898	251440
tcG/tcC	8.0000e+00	41	9803218	251494
tcG/tcC	9.0000e+00	20	4860065	251488
tcG/tcC	1.0000e+01	19	4674580	251488
tcG/tcC	1.1000e+01	12	2920898	251372
tcG/tcC	1.2000e+01	10	2428386	251450
tcG/tcC	1.3000e+01	8	1982484	250996
tcG/tcC	1.4000e+01	7	1738838	251444
tcG/tcC	1.5000e+01	6	1459388	251356
tcG/tcC	1.6000e+01	14	3396346	251446
tcG/tcC	1.7000e+01	10	2458664	251404
tcG/tcT	0.0000e+00	2891	706821208	251496
tcG/tcT	1.0000e+00	1314	319816536	251494
tcG/tcT	2.0000e+00	482	117617769	251494
tcG/tcT	3.0000e+00	289	70754270	251494
tcG/tcT	4.0000e+00	135	32929514	251488
tcG/tcT	5.0000e+00	81	19829457	251494
tcG/tcT	6.0000e+00	49	11784553	251482
tcG/tcT	7.0000e+00	47	11598712	251494
tcG/tcT	8.0000e+00	34	8283759	251488
tcG/tcT	9.0000e+00	15	3659072	251462
tcG/tcT	1.0000e+01	18	4400548	251404
tcG/tcT	1.1000e+01	8	1959828	251444
tcG/tcT	1.2000e+01	5	1157685	251426
tcG/tcT	1.3000e+01	5	1193454	251216
tcG/tcT	1.4000e+01	5	1245364	250718
tcG/tcT	1.5000e+01	6	1492886	251056
tcG/tcT	1.6000e+01	8	2002590	251462
tcG/tcT	1.7000e+01	5	1249842	251424
tcT/tcA	0.0000e+00	2084	513732251	251496
tcT/tcA	1.0000e+00	652	160383223	251496
tcT/tcA	2.0000e+00	295	72761595	251496
tcT/tcA	3.0000e+00	135	33467904	251490
tcT/tcA	4.0000e+00	86	21170056	251486
tcT/tcA	5.0000e+00	44	10845741	251484
tcT/tcA	6.0000e+00	27	6727096	251486
tcT/tcA	7.0000e+00	17	4157483	251474
tcT/tcA	8.0000e+00	15	3750084	251456
tcT/tcA	9.0000e+00	13	3185574	251492
tcT/tcA	1.0000e+01	4	994028	251482
tcT/tcA	1.1000e+01	8	1958324	251336
tcT/tcA	1.2000e+01	2	500210	251190
tcT/tcA	1.3000e+01	2	501134	251360
tcT/tcA	1.4000e+01	1	251102	251102
tcT/tcA	1.5000e+01	1	251290	251290
tcT/tcA	1.6000e+01	3	742278	251212
tcT/tcA	1.7000e+01	5	1235152	251334
tcT/tcC	0.0000e+00	9200	2267908108	251496
tcT/tcC	1.0000e+00	3298	811571203	251496
tcT/tcC	2.0000e+00	1404	345485105	251496
tcT/tcC	3.0000e+00	687	168854172	251496
tcT/tcC	4.0000e+00	344	84703347	251496
tcT/tcC	5.0000e+00	229	56495870	251492
tcT/tcC	6.0000e+00	147	35925719	251486
tcT/tcC	7.0000e+00	114	27753645	251490
tcT/tcC	8.0000e+00	93	22794554	251492
tcT/tcC	9.0000e+00	62	15236045	251484
tcT/tcC	1.0000e+01	38	9236250	251482
tcT/tcC	1.1000e+01	38	9231135	251490
tcT/tcC	1.2000e+01	31	7528991	251490
tcT/tcC	1.3000e+01	12	3007150	251472
tcT/tcC	1.4000e+01	30	7354140	251472
tcT/tcC	1.5000e+01	29	7173421	251406
tcT/tcC	1.6000e+01	55	13441240	251470
tcT/tcC	1.7000e+01	72	17842754	251462
tcT/tcG	0.0000e+00	3222	793209023	251496
tcT/tcG	1.0000e+00	1089	268396569	251496
tcT/tcG	2.0000e+00	410	101024928	251496
tcT/tcG	3.0000e+00	250	61578303	251490
tcT/tcG	4.0000e+00	123	30271121	251486
tcT/tcG	5.0000e+00	82	20278994	251492
tcT/tcG	6.0000e+00	50	12280252	251476
tcT/tcG	7.0000e+00	37	9139957	251464
tcT/tcG	8.0000e+00	17	4200032	251494
tcT/tcG	9.0000e+00	18	4491484	251486
tcT/tcG	1.0000e+01	17	4164914	251440
tcT/tcG	1.1000e+01	9	2237718	251454
tcT/tcG	1.2000e+01	6	1479516	251394
tcT/tcG	1.3000e+01	5	1208130	251346
tcT/tcG	1.4000e+01	3	754110	251478
tcT/tcG	1.5000e+01	12	2953914	251390
tcT/tcG	1.6000e+01	8	1997068	251434
tcT/tcG	1.7000e+01	11	2746254	251470
tgC/tgT	0.0000e+00	11467	2813149397	251496
tgC/tgT	1.0000e+00	6229	1525917912	251496
tgC/tgT	2.0000e+00	4108	1007612540	251496
tgC/tgT	3.0000e+00	2488	610806869	251496
tgC/tgT	4.0000e+00	1451	356559607	251496
tgC/tgT	5.0000e+00	796	195304830	251494
tgC/tgT	6.0000e+00	483	118120747	251496
tgC/tgT	7.0000e+00	368	90639397	251492
tgC/tgT	8.0000e+00	274	67038464	251492
tgC/tgT	9.0000e+00	178	43782969	251494
tgC/tgT	1.0000e+01	130	32029166	251488
tgC/tgT	1.1000e+01	70	17000810	251482
tgC/tgT	1.2000e+01	56	13856232	251470
tgC/tgT	1.3000e+01	52	12847666	251476
tgC/tgT	1.4000e+01	56	13657309	251480
tgC/tgT	1.5000e+01	45	10974232	251434
tgC/tgT	1.6000e+01	55	13277724	251448
tgC/tgT	1.7000e+01	31	7580072	251474
tgT/tgC	0.0000e+00	6216	1533356708	251496
tgT/tgC	1.0000e+00	2292	564993405	251496
tgT/tgC	2.0000e+00	958	236102216	251496
tgT/tgC	3.0000e+00	451	111359966	251496
tgT/tgC	4.0000e+00	257	63506652	251496
tgT/tgC	5.0000e+00	167	40970932	251494
tgT/tgC	6.0000e+00	99	24135121	251480
tgT/tgC	7.0000e+00	64	15791038	251482
tgT/tgC	8.0000e+00	73	17823313	251492
tgT/tgC	9.0000e+00	42	10415070	251494
tgT/tgC	1.0000e+01	38	9327488	251488
tgT/tgC	1.1000e+01	28	6843034	251494
tgT/tgC	1.2000e+01	15	3635792	251446
tgT/tgC	1.3000e+01	21	5135105	251478
tgT/tgC	1.4000e+01	21	5151754	251474
tgT/tgC	1.5000e+01	22	5479274	251476
tgT/tgC	1.6000e+01	28	6791385	251412
tgT/tgC	1.7000e+01	54	13226058	251486
ttA/ttG	0.0000e+00	5603	1379045726	251496
ttA/ttG	1.0000e+00	2083	511768997	251496
ttA/ttG	2.0000e+00	839	206619563	251496
ttA/ttG	3.0000e+00	391	96339129	251494
ttA/ttG	4.0000e+00	237	58159048	251496
ttA/ttG	5.0000e+00	157	38540004	251486
ttA/ttG	6.0000e+00	86	21312027	251496
ttA/ttG	7.0000e+00	60	14739343	251478
ttA/ttG	8.0000e+00	55	13640320	251488
ttA/ttG	9.0000e+00	45	10996684	251488
ttA/ttG	1.0000e+01	30	7293432	251448
ttA/ttG	1.1000e+01	13	3242390	251414
ttA/ttG	1.2000e+01	12	2962672	251404
ttA/ttG	1.3000e+01	8	1947680	251324
ttA/ttG	1.4000e+01	12	2922424	251460
ttA/ttG	1.5000e+01	13	3191078	251474
ttA/ttG	1.6000e+01	18	4440432	251470
ttA/ttG	1.7000e+01	20	4932630	251456
ttC/ttT	0.0000e+00	17209	4227919350	251496
ttC/ttT	1.0000e+00	9045	2220586657	251496
ttC/ttT	2.0000e+00	6010	1478421978	251496
ttC/ttT	3.0000e+00	3523	866175404	251496
ttC/ttT	4.0000e+00	1941	477002256	251496
ttC/ttT	5.0000e+00	1075	264444557	251496
ttC/ttT	6.0000e+00	657	161362384	251496
ttC/ttT	7.0000e+00	486	119739147	251496
ttC/ttT	8.0000e+00	348	85891512	251496
ttC/ttT	9.0000e+00	245	60350071	251496
ttC/ttT	1.0000e+01	180	44299750	251496
ttC/ttT	1.1000e+01	106	26160802	251492
ttC/ttT	1.2000e+01	68	16823671	251496
ttC/ttT	1.3000e+01	68	16797942	251494
ttC/ttT	1.4000e+01	64	15889646	251492
ttC/ttT	1.5000e+01	65	16026795	251476
ttC/ttT	1.6000e+01	83	20497492	251466
ttC/ttT	1.7000e+01	36	8826729	251482
ttG/ttA	0.0000e+00	9454	2327452586	251496
ttG/ttA	1.0000e+00	3511	864385906	251496
ttG/ttA	2.0000e+00	1447	356111786	251496
ttG/ttA	3.0000e+00	818	200851070	251496
ttG/ttA	4.0000e+00	420	103574103	251492
ttG/ttA	5.0000e+00	242	59649703	251490
ttG/ttA	6.0000e+00	149	36903698	251496
ttG/ttA	7.0000e+00	122	30198609	251488
ttG/ttA	8.0000e+00	84	20803837	251480
ttG/ttA	9.0000e+00	68	16728828	251486
ttG/ttA	1.0000e+01	38	9337522	251486
ttG/ttA	1.1000e+01	31	7500972	251482
ttG/ttA	1.2000e+01	26	6402630	251484
ttG/ttA	1.3000e+01	22	5259781	251376
ttG/ttA	1.4000e+01	8	1943858	251430
ttG/ttA	1.5000e+01	20	4939700	251488
ttG/ttA	1.6000e+01	19	4578663	251418
ttG/ttA	1.7000e+01	14	3423822	251454
ttT/ttC	0.0000e+00	9381	2311977634	251496
ttT/ttC	1.0000e+00	3520	867793377	251496
ttT/ttC	2.0000e+00	1524	375639800	251496
ttT/ttC	3.0000e+00	726	178313368	251496
ttT/ttC	4.0000e+00	480	117933686	251494
ttT/ttC	5.0000e+00	278	68379225	251496
ttT/ttC	6.0000e+00	187	46277146	251494
ttT/ttC	7.0000e+00	136	33339330	251496
ttT/ttC	8.0000e+00	98	24018147	251494
ttT/ttC	9.0000e+00	66	16283319	251496
ttT/ttC	1.0000e+01	46	11465698	251488
ttT/ttC	1.1000e+01	34	8392265	251474
ttT/ttC	1.2000e+01	26	6466774	251496
ttT/ttC	1.3000e+01	29	7216902	251490
ttT/ttC	1.4000e+01	22	5388132	251474
ttT/ttC	1.5000e+01	46	11301382	251416
ttT/ttC	1.6000e+01	46	11258582	251462
ttT/ttC	1.7000e+01	73	18030956	251494
